Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
"28,395",610.29,208.18,173.89,1.20,0.55,"28,715",190.14,0.76,0.99,0.96,0.91,0.01,0.00,0.83,1.00,SEKER
"28,734",638.02,200.52,182.73,1.10,0.41,"29,172",191.27,0.78,0.98,0.89,0.95,0.01,0.00,0.91,1.00,SEKER
"29,380",624.11,212.83,175.93,1.21,0.56,"29,690",193.41,0.78,0.99,0.95,0.91,0.01,0.00,0.83,1.00,SEKER
"30,008",645.88,210.56,182.52,1.15,0.50,"30,724",195.47,0.78,0.98,0.90,0.93,0.01,0.00,0.86,0.99,SEKER
"30,140",620.13,201.85,190.28,1.06,0.33,"30,417",195.90,0.77,0.99,0.98,0.97,0.01,0.00,0.94,1.00,SEKER
"30,279",634.93,212.56,181.51,1.17,0.52,"30,600",196.35,0.78,0.99,0.94,0.92,0.01,0.00,0.85,1.00,SEKER
"30,477",670.03,211.05,184.04,1.15,0.49,"30,970",196.99,0.76,0.98,0.85,0.93,0.01,0.00,0.87,1.00,SEKER
"30,519",629.73,213.00,182.74,1.17,0.51,"30,847",197.12,0.77,0.99,0.97,0.93,0.01,0.00,0.86,1.00,SEKER
"30,685",635.68,213.53,183.16,1.17,0.51,"31,044",197.66,0.77,0.99,0.95,0.93,0.01,0.00,0.86,1.00,SEKER
"30,834",631.93,217.23,180.90,1.20,0.55,"31,120",198.14,0.78,0.99,0.97,0.91,0.01,0.00,0.83,1.00,SEKER
"30,917",640.77,213.56,184.44,1.16,0.50,"31,280",198.41,0.77,0.99,0.95,0.93,0.01,0.00,0.86,1.00,SEKER
"31,091",638.56,210.49,188.33,1.12,0.45,"31,458",198.96,0.79,0.99,0.96,0.95,0.01,0.00,0.89,1.00,SEKER
"31,107",640.59,214.65,184.97,1.16,0.51,"31,423",199.01,0.76,0.99,0.95,0.93,0.01,0.00,0.86,1.00,SEKER
"31,158",642.63,216.48,183.64,1.18,0.53,"31,492",199.18,0.80,0.99,0.95,0.92,0.01,0.00,0.85,1.00,SEKER
"31,158",641.11,212.07,187.19,1.13,0.47,"31,474",199.18,0.78,0.99,0.95,0.94,0.01,0.00,0.88,1.00,SEKER
"31,178",636.89,212.98,186.56,1.14,0.48,"31,520",199.24,0.76,0.99,0.97,0.94,0.01,0.00,0.88,1.00,SEKER
"31,202",644.45,215.64,184.47,1.17,0.52,"31,573",199.32,0.78,0.99,0.94,0.92,0.01,0.00,0.85,1.00,SEKER
"31,203",639.78,215.07,184.87,1.16,0.51,"31,558",199.32,0.76,0.99,0.96,0.93,0.01,0.00,0.86,1.00,SEKER
"31,272",638.67,212.45,187.54,1.13,0.47,"31,593",199.54,0.77,0.99,0.96,0.94,0.01,0.00,0.88,1.00,SEKER
"31,335",635.01,216.79,184.16,1.18,0.53,"31,599",199.74,0.77,0.99,0.98,0.92,0.01,0.00,0.85,1.00,SEKER
"31,374",636.40,219.87,182.01,1.21,0.56,"31,604",199.87,0.77,0.99,0.97,0.91,0.01,0.00,0.83,1.00,SEKER
"31,530",638.86,213.79,188.07,1.14,0.48,"31,791",200.36,0.77,0.99,0.97,0.94,0.01,0.00,0.88,1.00,SEKER
"31,573",674.10,217.31,185.45,1.17,0.52,"32,197",200.50,0.76,0.98,0.87,0.92,0.01,0.00,0.85,1.00,SEKER
"31,637",656.71,229.72,175.51,1.31,0.65,"32,045",200.70,0.76,0.99,0.92,0.87,0.01,0.00,0.76,1.00,SEKER
"31,675",657.43,236.75,171.21,1.38,0.69,"32,009",200.82,0.74,0.99,0.92,0.85,0.01,0.00,0.72,0.99,SEKER
"31,682",646.72,210.05,192.25,1.09,0.40,"32,026",200.85,0.77,0.99,0.95,0.96,0.01,0.00,0.91,1.00,SEKER
"31,703",656.31,215.71,187.27,1.15,0.50,"32,093",200.91,0.78,0.99,0.92,0.93,0.01,0.00,0.87,1.00,SEKER
"31,748",641.83,219.78,184.12,1.19,0.55,"32,020",201.05,0.78,0.99,0.97,0.91,0.01,0.00,0.84,1.00,SEKER
"31,768",650.95,220.96,183.29,1.21,0.56,"32,173",201.12,0.78,0.99,0.94,0.91,0.01,0.00,0.83,1.00,SEKER
"31,811",642.09,223.98,180.92,1.24,0.59,"32,052",201.25,0.77,0.99,0.97,0.90,0.01,0.00,0.81,1.00,SEKER
"31,821",649.68,213.74,189.97,1.13,0.46,"32,168",201.29,0.77,0.99,0.95,0.94,0.01,0.00,0.89,1.00,SEKER
"31,823",662.53,222.87,181.89,1.23,0.58,"32,274",201.29,0.77,0.99,0.91,0.90,0.01,0.00,0.82,1.00,SEKER
"31,837",656.40,224.91,180.44,1.25,0.60,"32,238",201.34,0.79,0.99,0.93,0.90,0.01,0.00,0.80,1.00,SEKER
"31,915",640.72,216.32,188.07,1.15,0.49,"32,184",201.58,0.78,0.99,0.98,0.93,0.01,0.00,0.87,1.00,SEKER
"31,972",639.97,213.69,190.64,1.12,0.45,"32,246",201.76,0.77,0.99,0.98,0.94,0.01,0.00,0.89,1.00,SEKER
